slno, Wall_1,Humid1, Wall_2,Humid2, Wall_3,Humid3, Wall_4,Humid4, Outside
314,23,61,25,55,26,76,24,62,28
315,23,61,25,55,26,76,24,61,28
316,23,60,25,55,26,77,24,61,28
317,23,59,25,54,26,75,25,60,28
318,23,59,25,54,26,79,25,60,28
319,23,59,25,54,26,79,25,59,28
320,23,59,25,53,26,76,25,59,28
321,23,58,25,53,26,77,25,58,28
322,23,58,25,53,26,79,25,58,28
323,22,59,25,53,26,75,25,58,28
324,22,58,25,52,26,74,25,57,28
325,22,58,25,52,26,77,25,57,28
326,22,58,25,52,26,77,25,57,28
327,22,58,25,52,26,76,25,57,28
328,22,57,25,51,26,73,25,56,28
329,22,57,25,51,26,75,25,56,28
330,22,57,25,51,26,75,25,56,28
331,22,57,25,50,26,75,25,55,28
332,22,57,25,50,26,74,25,55,28
333,22,57,25,50,26,73,25,55,28
334,22,56,25,50,26,75,25,55,28
335,22,57,25,50,26,73,25,54,28
336,22,57,25,50,26,74,24,54,28
337,22,57,25,50,25,74,24,54,28
338,22,57,25,49,25,74,24,54,28
339,22,56,25,49,25,72,24,54,28
340,22,57,25,49,25,71,24,53,28
341,22,56,25,49,25,73,24,53,28
342,22,56,25,49,25,75,24,53,28
343,22,57,25,49,25,71,24,53,28
344,22,56,25,49,25,71,24,53,28
345,22,56,25,49,25,73,24,53,28
346,22,56,25,48,25,73,24,52,28
347,22,57,25,49,25,70,24,52,28
348,22,59,25,48,25,72,24,53,28
349,22,59,25,48,25,74,24,55,28
350,22,59,25,48,25,77,24,57,28
351,22,59,25,48,25,77,24,58,28
352,23,58,25,49,25,77,24,59,28
353,23,58,25,50,25,76,24,60,28
354,23,59,25,51,25,79,24,62,28
355,23,59,25,52,25,78,24,63,28
356,23,60,25,53,25,77,24,64,28
357,23,59,25,52,25,78,24,64,28
358,23,60,25,53,25,79,24,64,28
359,23,60,25,54,25,79,24,63,28
360,23,59,25,55,25,79,24,63,28
361,23,59,25,56,25,78,24,64,28
362,23,60,25,56,25,80,24,63,28
363,23,63,25,56,25,78,24,63,28
364,23,63,25,56,25,82,24,64,28
365,23,63,25,56,25,81,24,65,28
366,23,62,25,56,25,80,24,65,28
367,24,63,25,56,26,82,24,66,28
368,24,62,25,56,26,82,24,66,28
369,24,63,25,58,26,82,24,67,28
370,24,62,25,58,26,81,24,68,28
371,24,62,25,58,26,82,24,69,28
372,24,64,25,58,26,83,24,69,28
373,24,65,25,59,26,84,24,69,28
374,24,63,25,60,26,85,24,69,28
375,24,63,25,60,26,84,24,69,28
376,24,63,25,60,26,82,25,69,28
377,23,64,25,60,26,81,25,68,28
378,23,65,25,60,26,81,25,68,28
379,23,65,25,61,26,81,25,68,28
380,23,64,25,60,26,84,25,67,28
381,23,65,25,60,26,81,25,67,28
382,23,64,25,59,26,80,25,66,28
383,23,63,25,59,26,80,25,65,28
384,23,63,25,59,26,79,25,65,28
385,23,63,25,58,26,80,25,64,28
386,23,63,25,58,26,79,25,64,28
387,23,63,25,57,26,80,25,63,28
388,23,62,25,57,26,78,25,63,28
389,23,62,25,57,26,79,25,62,28
390,23,63,25,56,26,79,25,62,28
391,23,62,25,56,26,79,25,62,28
392,23,62,25,56,26,78,25,62,28
393,23,61,25,55,26,77,25,61,28
394,23,62,25,55,26,76,25,61,28
395,23,65,25,55,26,77,25,60,28
396,23,64,25,55,26,78,25,61,28
397,23,64,25,55,26,79,25,63,28
398,23,64,25,55,26,81,25,64,28
399,23,64,25,55,26,81,25,65,28
400,23,64,25,55,26,83,25,67,28
401,23,64,25,57,26,83,25,67,28
402,23,65,25,58,26,83,25,68,28
403,23,66,25,58,26,82,25,68,28
404,23,65,25,58,26,83,25,69,28
405,23,64,25,58,26,82,25,69,28
406,23,64,25,59,26,83,25,69,28
407,23,64,25,59,26,84,25,68,28
408,23,64,25,60,26,84,25,68,28
409,23,64,25,61,26,81,25,68,28
410,23,64,25,61,26,80,25,68,28
411,23,65,25,60,26,81,25,68,28
412,23,65,25,60,26,81,25,67,28
413,23,65,25,60,26,83,25,66,28
414,23,64,25,60,26,81,25,66,28
415,23,64,25,60,26,80,25,66,28
416,23,63,25,59,26,81,25,65,28
417,23,64,25,58,26,79,25,65,28
418,23,63,25,58,26,79,25,64,28
419,23,63,25,58,26,80,25,63,28
420,23,63,25,57,26,79,25,63,28
421,23,63,25,57,26,78,25,62,28
422,23,63,25,56,26,78,25,62,28
423,23,63,25,56,26,79,25,62,28
424,23,62,25,56,26,79,25,61,28
425,23,61,25,55,26,77,25,61,28
426,23,62,25,55,26,80,25,60,28
427,23,64,25,55,26,77,25,60,28
428,23,65,25,55,26,81,25,62,28
429,23,64,25,55,26,83,25,65,28
430,23,62,25,55,26,84,25,65,28
431,23,64,25,56,26,82,25,65,28
432,23,64,25,58,26,82,25,67,28
433,23,64,25,58,26,82,25,68,28
434,23,65,25,59,26,82,25,69,28
435,23,65,25,59,26,83,25,69,28
436,23,64,25,59,26,84,25,69,28
437,23,64,25,59,26,83,25,69,28
438,23,64,25,61,26,84,25,69,28
439,23,64,25,61,26,83,25,69,28
440,23,64,25,61,26,81,25,69,28
441,23,65,25,61,26,81,25,69,28
442,23,66,25,61,26,82,25,68,28
443,23,68,25,60,26,83,25,68,28
444,23,67,25,60,26,82,25,67,28
445,23,65,25,60,26,81,25,67,28
446,23,65,25,60,26,82,25,66,28
447,23,64,25,59,26,81,25,65,28
448,23,63,25,59,26,79,25,65,28
449,23,63,25,58,26,81,25,64,28
450,23,65,25,58,26,82,25,63,28
451,23,63,25,58,26,78,25,63,28
452,23,63,25,57,26,80,25,62,28
453,23,63,25,57,26,82,25,62,28
454,23,63,25,56,26,78,25,62,28
455,23,63,25,56,26,77,25,61,28
456,23,63,25,55,26,77,25,61,28
457,23,64,25,55,26,79,25,62,28
458,23,65,25,55,26,79,25,62,28
459,23,65,25,55,26,82,25,64,28
460,23,64,25,56,26,81,24,65,28
461,23,64,25,55,26,82,24,65,28
462,23,63,25,56,26,85,24,67,28
463,23,66,25,57,26,84,24,68,28
464,23,64,25,58,26,86,24,68,28
465,23,65,25,58,26,86,24,69,28
466,23,64,25,59,26,85,24,69,28
467,23,65,25,59,26,84,24,70,28
468,23,64,25,60,26,84,24,69,28
469,23,64,25,60,26,83,24,69,28
470,23,64,25,61,26,84,24,69,28
471,23,65,25,61,26,82,24,69,28
472,23,66,25,61,26,85,24,69,28
473,23,67,25,61,26,85,24,68,28
474,23,66,25,60,26,81,24,68,28
475,23,65,25,60,26,80,24,67,28
476,23,66,25,60,26,80,24,66,28
477,23,64,25,59,26,81,24,66,28
478,23,64,25,59,26,81,24,65,28
479,23,64,25,59,26,78,24,64,28
480,23,63,25,58,26,80,24,64,28
